# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=876692233
# chain_id=4
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=/home/kendal/Documents/phd/henrik/ddm_in_stan/fits/temp_chains/chain_data_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b_a.1,b_a.2,b_ndt.1,b_ndt.2,b_w.1,b_w.2,Intercept_sv,b_sv_Intercept
353.088,0.251275,0.386208,2,7,0,-345.775,-0.345712,0.0136512,3.2554,-0.538499,0.754909,-0.339958,-1.75375,0.0142155,0.0314398,0.0546632,-0.824111,-0.824111
353.088,0,1.42408,0,1,1,-347.45,-0.345712,0.0136512,3.2554,-0.538499,0.754909,-0.339958,-1.75375,0.0142155,0.0314398,0.0546632,-0.824111,-0.824111
352.227,0.901694,0.160772,4,31,0,-345.223,-0.368704,-0.0201418,3.25615,-0.566128,0.772121,-0.350301,-1.7635,0.029992,0.0591583,0.0663902,-0.76991,-0.76991
351.219,0.836979,0.139213,5,31,0,-345.325,-0.321806,0.020273,3.32076,-0.579844,0.780271,-0.346582,-1.76151,0.0265947,0.0171508,0.0144283,-0.771153,-0.771153
351.477,0.989874,0.121714,5,31,0,-347.517,-0.377456,0.0133066,3.2494,-0.615792,0.766788,-0.353914,-1.75919,0.0246449,0.0662276,0.0712631,-0.859486,-0.859486
353.625,0.758968,0.184451,4,15,0,-348.409,-0.331134,-0.0078602,3.27256,-0.534572,0.764466,-0.341171,-1.75724,0.023324,0.0224827,0.0393937,-0.739297,-0.739297
352.748,1,0.149858,4,15,0,-350.383,-0.312529,-0.00317388,3.2342,-0.552172,0.765229,-0.347795,-1.75505,0.0185623,0.00990144,0.0755975,-0.820384,-0.820384
352.831,0.551184,0.264627,2,7,0,-346.041,-0.308797,-0.00871092,3.24198,-0.564114,0.761842,-0.341285,-1.75773,0.0205095,0.0170294,0.0605661,-0.864249,-0.864249
352.172,0.980582,0.117977,5,31,0,-347.475,-0.397744,0.093239,3.26358,-0.538523,0.762081,-0.345488,-1.75158,0.0207598,0.0463913,0.00378178,-0.845699,-0.845699
352.764,0.99063,0.205178,4,15,0,-347.777,-0.352281,0.11524,3.22916,-0.575622,0.763327,-0.341101,-1.75821,0.0263435,0.0389581,-0.0162185,-0.848167,-0.848167
